730,0.91,#1
762,1.05,#2
745,1.08,#3
827,1.09,#4
828,1.09,#5
773,1.11,#6
670,1.12,#7
704,1.14,#8
751,1.14,#9
671,1.15,#10
830,1.16,#11
798,1.18,#12
825,1.2,#13
776,1.31,#14
672,1.35,#15
735,1.35,#16
763,1.36,#17
757,1.38,#18
774,1.38,#19
797,1.38,#20
647,1.39,#21
648,1.39,#22
772,1.4,#23
642,1.45,#24
728,1.46,#25
643,1.49,#26
645,1.5,#27
750,1.5,#28
832,1.52,#29
779,1.53,#30
789,1.53,#31
722,1.57,#32
726,1.57,#33
701,1.59,#34
669,1.6,#35
702,1.6,#36
734,1.61,#37
739,1.64,#38
731,1.65,#39
741,1.65,#40
644,1.66,#41
760,1.67,#42
733,1.68,#43
676,1.69,#44
700,1.7,#45
752,1.7,#46
761,1.7,#47
781,1.7,#48
723,1.71,#49
749,1.71,#50
738,1.72,#51
766,1.72,#52
651,1.73,#53
725,1.73,#54
775,1.73,#55
831,1.73,#56
834,1.73,#57
744,1.74,#58
829,1.74,#59
675,1.75,#60
793,1.75,#61
826,1.77,#62
792,1.78,#63
833,1.78,#64
649,1.79,#65
729,1.79,#66
794,1.8,#67
759,1.8,#68
764,1.8,#69
780,1.8,#70
795,1.8,#71
678,1.81,#72
758,1.81,#73
747,1.82,#74
796,1.82,#75
737,1.83,#76
753,1.84,#77
740,1.84,#78
742,1.84,#79
746,1.85,#80
790,1.88,#81
673,1.89,#82
699,1.89,#83
696,1.9,#84
765,1.9,#85
698,1.9,#86
791,1.91,#87
736,1.93,#88
674,1.94,#89
727,1.94,#90
748,1.94,#91
705,1.96,#92
777,1.97,#93
677,2,#94
778,2.01,#95
703,2.02,#96
646,2.03,#97
650,2.04,#98
697,2.05,#99
724,2.05,#100