Asset #,Inscription #,Title,Description,Image,To,Inscription Link,deposit address,tokenId,vault owner,name,emblem link
33,724,Litecoin Punk #33 (Inscription 724),Litecoin Punk #33. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/443aff7f6f57f1400e172d3d939777a24b1113c34eb4fc830b6a239f5a18f831i0,0x4BbdA1604DA7520CeffA7A7a3c92Eb088efeD52d,https://litecoin.earlyordies.com/inscription/443aff7f6f57f1400e172d3d939777a24b1113c34eb4fc830b6a239f5a18f831i0,LRHnBzNjXj9UzRJRMw2T72qWFXoW9oegUF,17113034522666281,0x4BbdA1604DA7520CeffA7A7a3c92Eb088efeD52d,Litecoin Punk #33 (Inscription #724),https://emblem.finance/nft?id=17113034522666281
34,725,Litecoin Punk #34 (Inscription 725),Litecoin Punk #34. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/b2cffd511a6196b315113b029c0d5eabd2c7b1fefa68af1ae5bdca4ed0766c1ai0,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,https://litecoin.earlyordies.com/inscription/b2cffd511a6196b315113b029c0d5eabd2c7b1fefa68af1ae5bdca4ed0766c1ai0,LPFwfzZw14Vx16f29zQdkBvDSXA4kj8R4x,14578746363867151,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,Litecoin Punk #34 (Inscription #725),https://emblem.finance/nft?id=14578746363867151
35,726,Litecoin Punk #35 (Inscription 726),Litecoin Punk #35. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/f9a50ff2c2271ea30f90f97529a669d97e55b26b5499ca868d2b4bd0190b5963i0,0x2aC12982E365c9d943341D13d5f09537B78d2972,https://litecoin.earlyordies.com/inscription/f9a50ff2c2271ea30f90f97529a669d97e55b26b5499ca868d2b4bd0190b5963i0,Lb8nQtyWK1Npu9cXYNKkBCqKpiorwGD1wF,34122108201456671,0x2aC12982E365c9d943341D13d5f09537B78d2972,Litecoin Punk #35 (Inscription #726),https://emblem.finance/nft?id=34122108201456671
36,727,Litecoin Punk #36 (Inscription 727),Litecoin Punk #36. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/38336032dbf461dde47aeec842faa1dc2412514ac2e1a6d7e44105408b3bcbf8i0,0xeE6311BbeF9F2cD1A0b4104b1B36105Fa415eC42,https://litecoin.earlyordies.com/inscription/38336032dbf461dde47aeec842faa1dc2412514ac2e1a6d7e44105408b3bcbf8i0,Le2Xp3JfpCyHpV6Fo3d8GMmNoJiQrfNbhX,86695570143522451,0xeE6311BbeF9F2cD1A0b4104b1B36105Fa415eC42,Litecoin Punk #36 (Inscription #727),https://emblem.finance/nft?id=86695570143522451
37,728,Litecoin Punk #37 (Inscription 728),Litecoin Punk #37. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/814229b8f446b89ceff8ae7ab4a0a6e2252de4e5841c68702c5ad2bc49f54730i0,0xd392a0d7Ee32b63bB19285d5bbbDCe35274520fe,https://litecoin.earlyordies.com/inscription/814229b8f446b89ceff8ae7ab4a0a6e2252de4e5841c68702c5ad2bc49f54730i0,LM6omXVVxFiALdsbF4Uqo4CuPNk5V2Ukmc,45698425690960841,0xd392a0d7Ee32b63bB19285d5bbbDCe35274520fe,Litecoin Punk #37 (Inscription #728),https://emblem.finance/nft?id=45698425690960841
38,729,Litecoin Punk #38 (Inscription 729),Litecoin Punk #38. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/53ffdee5dd96e15ba965891b133bf09afeea487c129c924d02dcf21a0c12f164i0,0xc9F2F148D58972dFd737834024c0411d71E25681,https://litecoin.earlyordies.com/inscription/53ffdee5dd96e15ba965891b133bf09afeea487c129c924d02dcf21a0c12f164i0,LbyZfWkVEg6FDff1uNJuru4x62dVEbWpZ6,300343702539941,0xc9F2F148D58972dFd737834024c0411d71E25681,Litecoin Punk #38 (Inscription #729),https://emblem.finance/nft?id=300343702539941
40,731,Litecoin Punk #40 (Inscription 731),Litecoin Punk #40. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/75c897868ba4b7afe357d0334e9cbc8afe18db6632dc0527ec1ee184a40855fci0,0x9cdcdb5011eb86cd758b6769c3a5143c040f2ad0,https://litecoin.earlyordies.com/inscription/75c897868ba4b7afe357d0334e9cbc8afe18db6632dc0527ec1ee184a40855fci0,LfqBx5mXufzxMW4EiGrV9ZUbMUbrMcqvfZ,76757891512377641,0x9cdcdb5011eb86cd758b6769c3a5143c040f2ad0,Litecoin Punk #40 (Inscription #731),https://emblem.finance/nft?id=76757891512377641
41,733,Litecoin Punk #41 (Inscription 733),Litecoin Punk #41. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/06c1f181ab2b4b4af84433759d4f44ae018965d5cc1477ba4e010139982791a3i0,0x03da37B4D9ecf8f2b553aF5242B8715aCD1A3CB5,https://litecoin.earlyordies.com/inscription/06c1f181ab2b4b4af84433759d4f44ae018965d5cc1477ba4e010139982791a3i0,LNmq2quWz4UBFu2FeiScmLmnbYCzvRGCVo,51202798015740211,0x03da37B4D9ecf8f2b553aF5242B8715aCD1A3CB5,Litecoin Punk #41 (Inscription #733),https://emblem.finance/nft?id=51202798015740211
42,734,Litecoin Punk #42 (Inscription 734),Litecoin Punk #42. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/8e0b19ec85e896af201b9de85bacedebc2693b8078df37f8a833f17941d2c1fei0,0x2EA83A4ebd81014013D84421D609c0A933eED543,https://litecoin.earlyordies.com/inscription/8e0b19ec85e896af201b9de85bacedebc2693b8078df37f8a833f17941d2c1fei0,Lb9TGaaUJq5SHwEx11pPAKk8LhTPWJ4JVJ,75167707389499911,0x2EA83A4ebd81014013D84421D609c0A933eED543,Litecoin Punk #42 (Inscription #734),https://emblem.finance/nft?id=75167707389499911
43,735,Litecoin Punk #43 (Inscription 735),Litecoin Punk #43. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/4ae69510ed28772a53b4e8379aeac43ae4c5e46fb9e9c0735550e08e5ea9808bi0,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,https://litecoin.earlyordies.com/inscription/4ae69510ed28772a53b4e8379aeac43ae4c5e46fb9e9c0735550e08e5ea9808bi0,LMSbr1Dg6X6vyHHrWQKBb3iPYM8wfQRRne,43372786956958901,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,Litecoin Punk #43 (Inscription #735),https://emblem.finance/nft?id=43372786956958901
44,736,Litecoin Punk #44 (Inscription 736),Litecoin Punk #44. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/f72f665fd872147570e8d568d0b788c19b994f255295ef74a386e55791c25e79i0,0xAA0E2ebFcF322e1DFFa308F5aa8ba3a45218Dff1,https://litecoin.earlyordies.com/inscription/f72f665fd872147570e8d568d0b788c19b994f255295ef74a386e55791c25e79i0,LgYF3RP8nJ6ygZxUfTTUdSE5GifShAovvo,20748392664637981,0xAA0E2ebFcF322e1DFFa308F5aa8ba3a45218Dff1,Litecoin Punk #44 (Inscription #736),https://emblem.finance/nft?id=20748392664637981
45,737,Litecoin Punk #45 (Inscription 737),Litecoin Punk #45. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/fb13a5f39eccee876433c81d0404037f1a3aff3bca4e840e8a4d6f256dcc880ai0,0x8b91FC90B38F0592460d34F5738f8cC3fE7d5708,https://litecoin.earlyordies.com/inscription/fb13a5f39eccee876433c81d0404037f1a3aff3bca4e840e8a4d6f256dcc880ai0,LXbTbeT4ZeP2JqDbpKuNKQnFHJYzXvqkru,5846389428084521,0x8b91FC90B38F0592460d34F5738f8cC3fE7d5708,Litecoin Punk #45 (Inscription #737),https://emblem.finance/nft?id=5846389428084521
46,738,Litecoin Punk #46 (Inscription 738),Litecoin Punk #46. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/610c994448af7399b8e101eb36ad075444fa7d29868949d4ad3e9ba244d4a3b9i0,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,https://litecoin.earlyordies.com/inscription/610c994448af7399b8e101eb36ad075444fa7d29868949d4ad3e9ba244d4a3b9i0,LWBU5pqCijibDYAQ17ra6UZcbk3Yb9bhTJ,14395128650818031,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,Litecoin Punk #46 (Inscription #738),https://emblem.finance/nft?id=14395128650818031
47,739,Litecoin Punk #47 (Inscription 739),Litecoin Punk #47. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/26698c27815f2b7a9ecca99208bd9c746a2af91aabdb7ba91b4a51da84ea4ecci0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/26698c27815f2b7a9ecca99208bd9c746a2af91aabdb7ba91b4a51da84ea4ecci0,LWf7eHtS28t5o1qyEjZch9Yk2doqBkiGQg,43984843871913901,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #47 (Inscription #739),https://emblem.finance/nft?id=43984843871913901
48,740,Litecoin Punk #48 (Inscription 740),Litecoin Punk #48. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/14a106d98e010b2f17bf0b01c8c2310fae004c177c4a0aa24460d713d36e437ci0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/14a106d98e010b2f17bf0b01c8c2310fae004c177c4a0aa24460d713d36e437ci0,LRVBQVvvSSs47zgYqzmM2qKDsEY2uMVGoJ,15554162369623131,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #48 (Inscription #740),https://emblem.finance/nft?id=15554162369623131
49,741,Litecoin Punk #49 (Inscription 741),Litecoin Punk #49. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/d202e08ef0dcaa527401970043524449430423743668ae5b14d2fb9b98f3ca43i0,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,https://litecoin.earlyordies.com/inscription/d202e08ef0dcaa527401970043524449430423743668ae5b14d2fb9b98f3ca43i0,LLXR1ScnowgdqQdM9WJq5bzXsx51ovqTok,41616485894701091,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,Litecoin Punk #49 (Inscription #741),https://emblem.finance/nft?id=41616485894701091
50,742,Litecoin Punk #50 (Inscription 742),Litecoin Punk #50. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/a2d36d3b77f81752d036aae9b06527e7fc25db90a2f594b82251593796b6c229i0,0xF48914FF6D77D2DdfECC7435e6c1cF972493BDeC,https://litecoin.earlyordies.com/inscription/a2d36d3b77f81752d036aae9b06527e7fc25db90a2f594b82251593796b6c229i0,LRHrticjghqcavfbmnRxgVWCuvRpNrpEF4,33361019337739641,0xF48914FF6D77D2DdfECC7435e6c1cF972493BDeC,Litecoin Punk #50 (Inscription #742),https://emblem.finance/nft?id=33361019337739641
51,744,Litecoin Punk #51 (Inscription 744),Litecoin Punk #51. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/44846a9a7a8459e085888f976dfaaa2407ad9fe13d7674b115e02fb61df709c7i0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/44846a9a7a8459e085888f976dfaaa2407ad9fe13d7674b115e02fb61df709c7i0,LQggTNNxSS5LEvNNDfTDYDq8ECfjY2rJPL,83368502059261121,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #51 (Inscription #744),https://emblem.finance/nft?id=83368502059261121
52,745,Litecoin Punk #52 (Inscription 745),Litecoin Punk #52. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/3c4c1a6102aa7a9c8c45a4bb16b2b7e71eddca9a114624861fb4a541257c271ai0,0x66e93827e8a1661Dfd7537852a9CF17841b36a04,https://litecoin.earlyordies.com/inscription/3c4c1a6102aa7a9c8c45a4bb16b2b7e71eddca9a114624861fb4a541257c271ai0,LUZFk4jyEjZJiaDtGGHTY8ZuosRbxU775r,77595816942579731,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #52 (Inscription #745),https://emblem.finance/nft?id=77595816942579731
53,746,Litecoin Punk #53 (Inscription 746),Litecoin Punk #53. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/68295c40f978b85d2af6cc2440395dd689715c9d757ba64ac706624a47235d7ai0,0xeFAA6f1aBb9Bf1306E1a209Ce5eb674969a7f3a8,https://litecoin.earlyordies.com/inscription/68295c40f978b85d2af6cc2440395dd689715c9d757ba64ac706624a47235d7ai0,LTtNWvCSHJNnfwytLaHhqAt9Lpd7D2zQMy,42845970268424171,0xeFAA6f1aBb9Bf1306E1a209Ce5eb674969a7f3a8,Litecoin Punk #53 (Inscription #746),https://emblem.finance/nft?id=42845970268424171
54,747,Litecoin Punk #54 (Inscription 747),Litecoin Punk #54. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/6d010e7fb19211f9068b77d57b82a4336d0585cd8a99bd91d3170d3a3c9ff5f1i0,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,https://litecoin.earlyordies.com/inscription/6d010e7fb19211f9068b77d57b82a4336d0585cd8a99bd91d3170d3a3c9ff5f1i0,LbeMWbFLr45ucieX7xQiTVos4KUrmevCRj,3995680340645021,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,Litecoin Punk #54 (Inscription #747),https://emblem.finance/nft?id=3995680340645021
55,748,Litecoin Punk #55 (Inscription 748),Litecoin Punk #55. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/c2d0f84bf97c0feddc2ed1b34259d9550eb86faa72266fb3d1925f8558d01f65i0,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,https://litecoin.earlyordies.com/inscription/c2d0f84bf97c0feddc2ed1b34259d9550eb86faa72266fb3d1925f8558d01f65i0,LV6mGHjYhKiaKHSzcaknN8KARgP9jmrRFV,41361527055358321,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,Litecoin Punk #55 (Inscription #748),https://emblem.finance/nft?id=41361527055358321
56,749,Litecoin Punk #56 (Inscription 749),Litecoin Punk #56. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/cb31ec16869e17fb4c1a981eb764a48c4cce9ff64d8a0ae87e62be1e11b04969i0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/cb31ec16869e17fb4c1a981eb764a48c4cce9ff64d8a0ae87e62be1e11b04969i0,LciiouovSCH9LdU9T8AXvevh6NzXu7Wofr,50878707924924511,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #56 (Inscription #749),https://emblem.finance/nft?id=50878707924924511
57,750,Litecoin Punk #57 (Inscription 750),Litecoin Punk #57. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/587540e8e7cd0816547c6936e608631adae668d13f4972f3ed019c8817654d6ai0,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,https://litecoin.earlyordies.com/inscription/587540e8e7cd0816547c6936e608631adae668d13f4972f3ed019c8817654d6ai0,LT8zqWMvayhBcEpCvG1RpBYk3az7HxL7Ms,5377000245674791,0x666FAF401a321F446Ed1d68eD5D6aE257c4f2A63,Litecoin Punk #57 (Inscription #750),https://emblem.finance/nft?id=5377000245674791
58,751,Litecoin Punk #58 (Inscription 751),Litecoin Punk #58. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/b773b7b88f1827b545feadf0165107cb23c7d58519b78efc515c1fb1b3dc1c2fi0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/b773b7b88f1827b545feadf0165107cb23c7d58519b78efc515c1fb1b3dc1c2fi0,LhD44HLdNnnNdfRHnZDd5JwhumjQkyAbtB,85764491318551461,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #58 (Inscription #751),https://emblem.finance/nft?id=85764491318551461
59,752,Litecoin Punk #59 (Inscription 752),Litecoin Punk #59. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/1a793112888f46367f6b73ea87815ab1c3fa4173c9cf26b69f3e154cf860da29i0,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,https://litecoin.earlyordies.com/inscription/1a793112888f46367f6b73ea87815ab1c3fa4173c9cf26b69f3e154cf860da29i0,LQMGtBU2Zzk8di5ff2sKpBGYLLFFndRu5D,10657517196174101,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,Litecoin Punk #59 (Inscription #752),https://emblem.finance/nft?id=10657517196174101
60,753,Litecoin Punk #60 (Inscription 753),Litecoin Punk #60. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/0beeb912c1b9a3ca4544cba7635b29307fdedeea116fb97f4aab30fe27219833i0,0x47bFDB7a9a43b61D7111d68A2D680cc1d58eE088,https://litecoin.earlyordies.com/inscription/0beeb912c1b9a3ca4544cba7635b29307fdedeea116fb97f4aab30fe27219833i0,LddTerXmb6JYGQzWoCjAnvez8DjUwNJTvF,10339061338729041,0x47bFDB7a9a43b61D7111d68A2D680cc1d58eE088,Litecoin Punk #60 (Inscription #753),https://emblem.finance/nft?id=10339061338729041
62,758,Litecoin Punk #62 (Inscription 758),Litecoin Punk #62. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/ca277355c37e7fcee1a8386a77f5ecbed328975450bfd06ee54ca1709a7ec42ei0,0x27D2332D814131fc61D8c921BE2077A6f402D703,https://litecoin.earlyordies.com/inscription/ca277355c37e7fcee1a8386a77f5ecbed328975450bfd06ee54ca1709a7ec42ei0,LfGoHH4j927oRXTpRZGXusdsWvG8vSHpsx,3051935288504131,0x27D2332D814131fc61D8c921BE2077A6f402D703,Litecoin Punk #62 (Inscription #758),https://emblem.finance/nft?id=3051935288504131
63,759,Litecoin Punk #63 (Inscription 759),Litecoin Punk #63. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/4018a826f7970dede83f69f5a184477b42b64f4aa041a6fa7b612d25a443c0f1i0,0xD84ae17505E5f132644fE56B8b77A9D79cf8D927,https://litecoin.earlyordies.com/inscription/4018a826f7970dede83f69f5a184477b42b64f4aa041a6fa7b612d25a443c0f1i0,LcQtFpzwnGhN6fjksQHJGQ7xaSp2BJeNti,28190564976355121,0xD84ae17505E5f132644fE56B8b77A9D79cf8D927,Litecoin Punk #63 (Inscription #759),https://emblem.finance/nft?id=28190564976355121
64,760,Litecoin Punk #64 (Inscription 760),Litecoin Punk #64. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/25e1d5ddcf882053abf71504cedb362c1b02340e19683b319490278e89e74007i0,0x9F2B717dbe827de78E43C37B0d75B50A7dd2B625,https://litecoin.earlyordies.com/inscription/25e1d5ddcf882053abf71504cedb362c1b02340e19683b319490278e89e74007i0,LepFqdspuKEs5dfmdD6iFjUx9f8pAqENdp,81653619373275151,0x9F2B717dbe827de78E43C37B0d75B50A7dd2B625,Litecoin Punk #64 (Inscription #760),https://emblem.finance/nft?id=81653619373275151
65,761,Litecoin Punk #65 (Inscription 761),Litecoin Punk #65. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/2cab849804f1075c2992fcd396f4becba6478854e1cb1c571ad71b6f215bc3d6i0,0x9996859A767Da3A869b95BbeF7E4A6380215f663,https://litecoin.earlyordies.com/inscription/2cab849804f1075c2992fcd396f4becba6478854e1cb1c571ad71b6f215bc3d6i0,LLmbPPea5p91hYrzWnwWUXMgfRYsc5v5TM,9793702989433081,0x9996859A767Da3A869b95BbeF7E4A6380215f663,Litecoin Punk #65 (Inscription #761),https://emblem.finance/nft?id=9793702989433081
66,762,Litecoin Punk #66 (Inscription 762),Litecoin Punk #66. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/d072571824b5f85d5839f262e55ee7679fcbc7996cd09af1e3737039c6aad06ai0,0x47bFDB7a9a43b61D7111d68A2D680cc1d58eE088,https://litecoin.earlyordies.com/inscription/d072571824b5f85d5839f262e55ee7679fcbc7996cd09af1e3737039c6aad06ai0,LUhSLjM2jvdVLJxfzq798jVs52wfMXakSE,82833558157405361,0x47bFDB7a9a43b61D7111d68A2D680cc1d58eE088,Litecoin Punk #66 (Inscription #762),https://emblem.finance/nft?id=82833558157405361
67,763,Litecoin Punk #67 (Inscription 763),Litecoin Punk #67. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/497a688ab3667fc97b1be00863c58b3673da2ab156dea1ba9b5769fe68eb1169i0,0xE754b9be1f5997F530f889cea3Fc7744cdF4D86b,https://litecoin.earlyordies.com/inscription/497a688ab3667fc97b1be00863c58b3673da2ab156dea1ba9b5769fe68eb1169i0,LQUsMVxNLevhanGdAmnpeSmKkXL1gyjNoH,31731334806336171,0xE754b9be1f5997F530f889cea3Fc7744cdF4D86b,Litecoin Punk #67 (Inscription #763),https://emblem.finance/nft?id=31731334806336171
